Slot,Folder,File name pattern,Aspect ratio,Sizes (px wide),Role,Current source,Alt text,Used on,Custom image prompt
"p:gold-foil-business-card-printing-dubai:production","website/assets/images/products/gold-foil-business-card-printing-dubai/","gold-foil-business-card-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:foil-embossing)","Hot-foil stamping or embossing detail being applied to card stock","/gold-foil-business-card-printing-dubai/","Photorealistic commercial photograph of business cards and gold foil production: Hot-foil stamping or embossing detail being applied to card stock. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:business-card-printing-dubai:hero","website/assets/images/products/business-card-printing-dubai/","business-card-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Stack of white business cards with navy print on a grey stone desk","/business-card-printing-dubai/","Realistic commercial product photograph of a neat stack of white 90 × 50 mm business cards with navy typography, one card angled on top, on a grey stone desk, soft diffused daylight, shallow depth of field, three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:business-card-printing-dubai:detail","website/assets/images/products/business-card-printing-dubai/","business-card-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of a soft-touch business card edge showing rounded corners and fine print","/business-card-printing-dubai/","Macro commercial photograph of a soft-touch laminated business card with rounded corners, showing crisp small typography and the clean trimmed edge, raking side light revealing the velvety surface, neutral background, fictional brand name, no real logos, no Flash Print Solution branding."
"p:business-card-printing-dubai:application","website/assets/images/products/business-card-printing-dubai/","business-card-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Two professionals exchanging business cards across a meeting table in a bright office","/business-card-printing-dubai/","Realistic photograph of two professionals exchanging a business card across a meeting table in a bright Dubai office with city views through the window, natural light, focus on hands and card, candid corporate mood, fictional brand name, no real logos, no Flash Print Solution branding."
"p:business-card-printing-dubai:production","website/assets/images/products/business-card-printing-dubai/","business-card-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:digital-press)","Digital press output","/business-card-printing-dubai/","Photorealistic commercial photograph of business cards basic production: Digital press output — freshly printed sheets leaving a production digital press. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:envelope-printing-dubai:hero","website/assets/images/products/envelope-printing-dubai/","envelope-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","White DL window envelopes with a small green logo stacked on a desk","/envelope-printing-dubai/","Realistic commercial product photograph of a stack of white DL window envelopes printed with a small green logo and return address, on a pale wooden desk beside folded letters, soft daylight, three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:envelope-printing-dubai:detail","website/assets/images/products/envelope-printing-dubai/","envelope-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of a kraft envelope flap with a printed return address","/envelope-printing-dubai/","Macro commercial photograph of a brown kraft envelope flap printed with a dark one-colour logo and return address, peel-and-seal strip partly lifted, natural side light showing paper fibres, fictional brand name, no real logos, no Flash Print Solution branding."
"p:envelope-printing-dubai:application","website/assets/images/products/envelope-printing-dubai/","envelope-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Office assistant sealing printed envelopes beside a stack of folded letters","/envelope-printing-dubai/","Realistic photograph of an office assistant sealing branded DL envelopes at a desk in a Dubai office, a stack of folded letters and a tray of finished envelopes nearby, bright natural light, medium shot focused on hands, fictional brand name, no real logos, no Flash Print Solution branding."
"p:envelope-printing-dubai:production","website/assets/images/products/envelope-printing-dubai/","envelope-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:offset-press)","Offset press run","/envelope-printing-dubai/","Photorealistic commercial photograph of envelopes production: Offset press run — operator checking a sheet at an offset printing press. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:presentation-folder-printing-dubai:hero","website/assets/images/products/presentation-folder-printing-dubai/","presentation-folder-printing-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Navy A4 presentation folder with an open pocket holding printed documents","/presentation-folder-printing-dubai/","Realistic commercial product photograph of a navy A4 presentation folder with a white logo, lying half open to show an inside pocket holding printed documents and a business card, on a light grey desk, soft studio light, three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:presentation-folder-printing-dubai:detail","website/assets/images/products/presentation-folder-printing-dubai/","presentation-folder-printing-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of a folder pocket with a die-cut business card slit","/presentation-folder-printing-dubai/","Macro commercial photograph of a laminated presentation folder pocket with a die-cut slit holding a business card at an angle, clean crease lines and smooth soft-touch surface, gentle side lighting, shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding."
"p:presentation-folder-printing-dubai:application","website/assets/images/products/presentation-folder-printing-dubai/","presentation-folder-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Consultant handing a branded proposal folder to a client across a boardroom table","/presentation-folder-printing-dubai/","Realistic photograph of a consultant handing a branded A4 proposal folder to a client across a boardroom table in a Dubai office tower, city skyline softly blurred through glass, natural light, medium shot, fictional brand name, no real logos, no Flash Print Solution branding."
"p:presentation-folder-printing-dubai:production","website/assets/images/products/presentation-folder-printing-dubai/","presentation-folder-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:finishing-cutting)","Trimming and cutting printed stacks on a guillotine in a print finishing area","/presentation-folder-printing-dubai/","Photorealistic commercial photograph of files & folders production: Trimming and cutting printed stacks on a guillotine in a print finishing area. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
